Rk,Player,School,Conf,Cmp,Passing Attempts,Pct,Passing Yards,Y/A,AY/A,Passing TD,Interceptions,Rate,Rushing Attempts,Rushing Yards,Rushing Avg,Rushing TD
1,Marcus Mariota,Oregon,Pac-12,254,372,68.3,3773,10.1,11.9,38,2,186.1,117,669,5.7,14
2,Garrett Grayson,Colorado State,MWC,250,386,64.8,3779,9.8,10.7,32,6,171.3,53,-25,-0.5,0
3,Zach Terrell,Western Michigan,MAC,231,330,70.0,3146,9.5,9.6,23,10,167.0,67,203,3.0,3
4,Blake Sims,Alabama,SEC,230,355,64.8,3250,9.2,9.7,26,7,161.9,73,321,4.4,6
5,Jake Waters,Kansas State,Big 12,231,349,66.2,3163,9.1,9.4,20,6,157.8,139,471,3.4,8
6,Connor Cook,Michigan State,Big Ten,188,323,58.2,2900,9.0,9.5,22,6,152.4,45,69,1.5,2
7,J.T. Barrett,Ohio State,Big Ten,203,314,64.6,2834,9.0,9.8,34,10,169.8,171,938,5.5,11
8,Grant Hedrick,Boise State,MWC,270,381,70.9,3387,8.9,8.5,22,13,157.8,147,563,3.8,8
9,Bryce Petty,Baylor,Big 12,234,377,62.1,3305,8.8,9.4,26,6,155.3,77,137,1.8,5
10,Rakeem Cato,Marshall,CUSA,242,414,58.5,3622,8.7,9.1,37,13,155.2,84,457,5.4,6
11,Bo Wallace,Mississippi,SEC,219,358,61.2,3108,8.7,8.5,22,11,148.2,107,218,2.0,5
12,Dak Prescott,Mississippi State,SEC,210,344,61.0,2987,8.7,8.8,24,10,151.2,195,939,4.8,13
13,Gary Nova,Rutgers,Big Ten,178,307,58.0,2667,8.7,8.2,20,12,144.6,43,-35,-0.8,3
14,Brad Kayaa,Miami (FL),ACC,202,345,58.6,2962,8.6,8.6,25,11,148.2,24,-124,-5.2,1
15,Brandon Doughty,Western Kentucky,CUSA,344,510,67.5,4344,8.5,9.4,44,10,163.5,37,-56,-1.5,2
16,Cody Kessler,Southern California,Pac-12,292,413,70.7,3505,8.5,9.8,36,4,168.8,52,-149,-2.9,2
17,Nick Marshall,Auburn,SEC,163,271,60.1,2315,8.5,8.7,18,7,148.7,146,780,5.3,11
18,Jameis Winston,Florida State,ACC,276,422,65.4,3559,8.4,7.8,24,17,147.0,50,82,1.6,3
19,Patrick Mahomes,Texas Tech,Big 12,105,185,56.8,1547,8.4,9.1,16,4,151.2,47,98,2.1,0
20,Gunner Kiel,Cincinnati,American,219,364,60.2,3010,8.3,8.6,30,11,150.8,57,136,2.4,1
21,Kenny Hill,Texas A&M,SEC,214,321,66.7,2649,8.3,8.6,23,8,154.6,52,156,3.0,0
22,Brett Hundley,UCLA,Pac-12,259,368,70.4,3019,8.2,8.7,21,5,155.4,148,548,3.7,8
23,Driphus Jackson,Rice,CUSA,176,307,57.3,2524,8.2,8.4,21,8,143.8,108,360,3.3,1
24,Everett Golson,Notre Dame,Ind,250,416,60.1,3355,8.1,7.9,29,14,144.1,113,280,2.5,8
25,Taylor Lamb,Appalachian State,Sun Belt,181,295,61.4,2381,8.1,7.9,17,9,142.1,78,483,6.2,4
26,Cody Clements,Alabama-Birmingham,CUSA,181,273,66.3,2221,8.1,7.9,13,7,145.2,91,160,1.8,4
27,Trevone Boykin,Texas Christian,Big 12,279,462,60.4,3714,8.0,8.7,30,7,146.3,141,659,4.7,8
28,Chad Voytik,Pittsburgh,ACC,158,252,62.7,2011,8.0,7.9,15,7,143.8,102,426,4.2,3
29,Dylan Thompson,South Carolina,SEC,248,417,59.5,3280,7.9,7.8,24,11,139.3,60,-53,-0.9,3
30,Cooper Rush,Central Michigan,MAC,215,337,63.8,2664,7.9,7.5,20,12,142.7,38,-77,-2.0,0
31,Tommy Armstrong Jr,Nebraska,Big Ten,152,294,51.7,2314,7.9,7.5,19,11,131.7,133,664,5.0,5
32,Trevor Knight,Oklahoma,Big 12,162,279,58.1,2197,7.9,7.4,14,9,134.3,66,340,5.2,5
33,Shane Carden,East Carolina,American,358,551,65.0,4302,7.8,8.2,28,8,144.4,87,94,1.1,6
34,Jared Goff,California,Pac-12,315,509,61.9,3964,7.8,8.5,35,7,147.2,55,-44,-0.8,0
35,Clint Trickett,West Virginia,Big 12,281,419,67.1,3285,7.8,7.6,18,10,142.3,42,-106,-2.5,1
36,Justin Holman,Central Florida,American,200,339,59.0,2661,7.8,7.3,20,13,136.7,103,162,1.6,3
37,Kevin Hogan,Stanford,Pac-12,218,333,65.5,2603,7.8,7.8,17,8,143.2,84,245,2.9,5
38,Logan Woodside,Toledo,MAC,164,269,61.0,2087,7.8,8.0,19,7,144.2,47,88,1.9,3
39,Mike Bercovici,Arizona State,Pac-12,115,186,61.8,1445,7.8,8.1,12,4,144.1,26,16,0.6,0
40,Blake Frohnapfel,Massachusetts,MAC,241,436,55.3,3345,7.7,7.7,23,10,132.5,41,-85,-2.1,0
41,Nick Arbuckle,Georgia State,Sun Belt,259,429,60.4,3283,7.7,6.9,23,17,134.4,73,10,0.1,2
42,Joe Licata,Buffalo,MAC,223,344,64.8,2642,7.7,7.9,29,11,150.8,34,-6,-0.2,2
43,Hutson Mason,Georgia,SEC,178,263,67.7,2019,7.7,8.5,20,4,154.2,40,14,0.4,4
44,Lucas Falk,Washington State,Pac-12,156,243,64.2,1883,7.7,7.5,13,7,141.2,36,-70,-1.9,1
45,Taylor Kelly,Arizona State,Pac-12,141,244,57.8,1874,7.7,8.4,20,5,145.3,86,232,2.7,3
46,Taylor Heinicke,Old Dominion,CUSA,289,455,63.5,3476,7.6,7.6,30,14,143.3,80,139,1.7,2
47,Cody Sokol,Louisiana Tech,CUSA,246,420,58.6,3189,7.6,7.6,29,13,138.9,50,56,1.1,2
