	index	year	region	review	sentiment	score
0	0	2017	ARGENTINA	Considered one of the best vintages in recent years, with generally warm and dry conditions. Cooler temperatures in the final two months lead to slightly lower alcohols and well preserved acidity. Even so, picking was generally earlier than the previous year, and while yields were higher than the small 2016 crop, volumes were still below the long-term average.	POSITIVE	0.9881207346916199
1	1	2016	ARGENTINA	A rain- and hail-affected vintage made for unusually challenging conditions. It was also one of the coolest vintages on record, according to Bodega Catena Zapata, which had the advantage of restricting the spread of rot and resulted in atypically modest alcohol levels. Overall, though, yields are lower and quality is by no means reliable. Gualtallary is thought to be one of the regions that escaped the worst impact of the excess precipitation.	NEGATIVE	0.9843760132789612
2	2	2015	ARGENTINA	A tricky year for the main region, Mendoza, with warmth and humidity bringing rot, and hail affecting some areas too. The best producers had to be meticulous in their selection, and lesser wines are likely to suffer from the poor conditions.	NEGATIVE	0.9729118347167969
3	3	2014	ARGENTINA	Frost, and January rain made for whites with lighter than usual concentration in 2014, but fine aromatic detail. Reds are similarly fresh and elegant, but are not expected to be hugely long-lasting.	POSITIVE	0.9986307621002197
4	4	2013	ARGENTINA	Healthy, dry and abundant with a cool spell late in the season prolonging the ripening period for red varieties. Very promising quality across all regions.	POSITIVE	0.9998606443405151
5	5	2012	ARGENTINA	Similar to 2011, but with lower yields leading to higher colour, fruit intensity and notable tannin that will require many years of bottle age to resolve.	NEGATIVE	0.6122732162475586
6	6	2011	ARGENTINA	A generally cool, damp year in Argentina. Frost and hail caused some damage too, so careful selection was required to produce the best wines. On the plus side, the coolness made for particular aromatic intensity in white wines.	POSITIVE	0.9989010095596313
7	7	2010	ARGENTINA	Reds have slightly lower than average alcohol, thanks to a cool ripening season. Fruit was harvested in good health, but quality was not as good as the exceptional 2009s.	NEGATIVE	0.9822530150413513
8	8	2009	ARGENTINA	For some, one of the best vintages of the decade in Mendoza. Winter was mild, spring was dry and summer was warm, with diurnal variation of over 15 ºC (27 ºF). Weather throughout harvest was very dry too, giving fruit in great condition.	POSITIVE	0.9984154105186462
9	9	2008	ARGENTINA	A very cold winter, a warm spring and a wetter than average autumn. Generally underpowered as a vintage, although reds were marginally better than whites.	POSITIVE	0.9636624455451965
