index	index	year	region	review	sentiment	score1	score2	score
0	0	2017	ARGENTINA	Considered one of the best vintages in recent years, with generally warm and dry conditions. Cooler temperatures in the final two months lead to slightly lower alcohols and well preserved acidity. Even so, picking was generally earlier than the previous year, and while yields were higher than the small 2016 crop, volumes were still below the long-term average.	POSITIVE	0.9881207347	0.01187926531	0.9881207347
1	1	2016	ARGENTINA	A rain- and hail-affected vintage made for unusually challenging conditions. It was also one of the coolest vintages on record, according to Bodega Catena Zapata, which had the advantage of restricting the spread of rot and resulted in atypically modest alcohol levels. Overall, though, yields are lower and quality is by no means reliable. Gualtallary is thought to be one of the regions that escaped the worst impact of the excess precipitation.	NEGATIVE	0.9843760133	0.01562398672	0.01562398672
2	2	2015	ARGENTINA	A tricky year for the main region, Mendoza, with warmth and humidity bringing rot, and hail affecting some areas too. The best producers had to be meticulous in their selection, and lesser wines are likely to suffer from the poor conditions.	NEGATIVE	0.9729118347	0.02708816528	0.02708816528
3	3	2014	ARGENTINA	Frost, and January rain made for whites with lighter than usual concentration in 2014, but fine aromatic detail. Reds are similarly fresh and elegant, but are not expected to be hugely long-lasting.	POSITIVE	0.9986307621	0.0013692379	0.9986307621
4	4	2013	ARGENTINA	Healthy, dry and abundant with a cool spell late in the season prolonging the ripening period for red varieties. Very promising quality across all regions.	POSITIVE	0.9998606443	0.0001393556595	0.9998606443
5	5	2012	ARGENTINA	Similar to 2011, but with lower yields leading to higher colour, fruit intensity and notable tannin that will require many years of bottle age to resolve.	NEGATIVE	0.6122732162	0.3877267838	0.3877267838
6	6	2011	ARGENTINA	A generally cool, damp year in Argentina. Frost and hail caused some damage too, so careful selection was required to produce the best wines. On the plus side, the coolness made for particular aromatic intensity in white wines.	POSITIVE	0.9989010096	0.00109899044	0.9989010096
7	7	2010	ARGENTINA	Reds have slightly lower than average alcohol, thanks to a cool ripening season. Fruit was harvested in good health, but quality was not as good as the exceptional 2009s.	NEGATIVE	0.982253015	0.01774698496	0.01774698496
8	8	2009	ARGENTINA	For some, one of the best vintages of the decade in Mendoza. Winter was mild, spring was dry and summer was warm, with diurnal variation of over 15 ºC (27 ºF). Weather throughout harvest was very dry too, giving fruit in great condition.	POSITIVE	0.9984154105	0.001584589481	0.9984154105
9	9	2008	ARGENTINA	A very cold winter, a warm spring and a wetter than average autumn. Generally underpowered as a vintage, although reds were marginally better than whites.	POSITIVE	0.9636624455	0.03633755445	0.9636624455
10	10	2007	ARGENTINA	Good for white, but difficult for reds in Mendoza, with excessive heat leading to below optimal freshness in the wines. Salta did better, with Torrontés faring especially well. For a very detailed report, see our _full report on 2007 in Argentina._	POSITIVE	0.8576093912	0.1423906088	0.8576093912
11	11	2006	ARGENTINA	A very good vintage, making reds with freshness and plenty of body and fruit power. Excellent quality.	POSITIVE	0.9998858571	0.0001141428947	0.9998858571
12	12	2005	ARGENTINA	Cool weather meaning a lighter, more aromatic style of wine. The long, dry autumn allowed for extended ripening, which allowed for good natural balance.	POSITIVE	0.9991026521	0.0008973479271	0.9991026521
13	13	2004	ARGENTINA	Great concentration in reds, but late rains undermined the Cabernet Sauvignons.	NEGATIVE	0.9984942079	0.001505792141	0.001505792141
14	14	2003	ARGENTINA	Dry and warm, producing healthy fruit that made for typically fruity, deeply coloured reds.	POSITIVE	0.9996510148	0.0003489851952	0.9996510148
15	15	2002	ARGENTINA	Hotter than average, giving ripe, round tannin with full flavour ripeness.	POSITIVE	0.9994269013	0.0005730986595	0.9994269013
16	16	2001	ARGENTINA	Unremarkable wines, with rain leading to dilution in many examples.	NEGATIVE	0.9801638126	0.01983618736	0.01983618736
17	17	2000	ARGENTINA	A cool vintage, leaving the wines with high acid and fresh fruit.	POSITIVE	0.9998582602	0.0001417398453	0.9998582602
18	18	2017	SOUTH AUSTRALIA	The grape harvest started later than in 2016, thanks to a relatively cool and wet start to the year, which brought disease pressure. There were none of the drought problems of recent years, and the crop was plentiful across all of Australia. Dry weather for most the harvest period ensured that quality was generally high too.	POSITIVE	0.9859229326	0.01407706738	0.9859229326
19	19	2016	SOUTH AUSTRALIA	Another very early vintage, with most varieties and regions finished with harvest by mid-February. That has allowed for lower alcohols in regions such as Coonawarra, but the warm summer allowed for full flavour ripeness. It was a compressed and difficult vintage to produce, but the results should be promising. For a more detailed report, read Max Allen’s article.	POSITIVE	0.9933071733	0.006692826748	0.9933071733
20	20	2015	SOUTH AUSTRALIA	Bush fires in the Adelaide Hills area may result in some smoke-tainted wines. Coonawarra had a warm spring but a cooler summer allowing for slow development and notably high tannin in the Cabernet Sauvignon. Barossa Shiraz enjoyed an excellent vintage while Clare Valley growers are enthusiastic about the quality of their Riesling.	POSITIVE	0.980902791	0.01909720898	0.980902791
21	21	2014	SOUTH AUSTRALIA	Extreme weather conditions are increasingly normal for Australia, and 2014 saw everything from frost to high winds to heatwaves. Yields were lower than usual and while nobody is claiming it is a great vintage, quality is generally reliable across varieties.	POSITIVE	0.9995939136	0.0004060864449	0.9995939136
22	22	2013	SOUTH AUSTRALIA	The hottest summer ever for South Eastern Australia and yields were well down but the vine proved itself relatively resistant to the record temperatures with many varieties ripening in an unusually short period.	NEGATIVE	0.8637598157	0.1362401843	0.1362401843
23	23	2012	SOUTH AUSTRALIA	Lower-than-average yields in Australia, as across much of Europe. This was blamed on high winds, drought and low fruitfulness resulting from the poor 2011 vintage. Quality, however, was much better than in the exceptionally damp 2011, with South Australia avoiding some of the weather extremes experienced by other states. Strong varietal typicality is a commonly cited feature of the 2012 crop.	NEGATIVE	0.6133381128	0.3866618872	0.3866618872
